,poemname,linenumber,word,country,Latitude,Longitude
1,An Octopus,64,antelope,South Africa,-28.8166236,24.991639
3,The Jerboa,22,antelope,South Africa,-28.8166236,24.991639
5,An Octopus,143,diamond,South Africa,-28.8166236,24.991639
7,Voracities and Verities Sometimes are Interacting,1,diamond,South Africa,-28.8166236,24.991639
9,"Tell Me, Tell Me",8,diamond,South Africa,-28.8166236,24.991639
11,The Jerboa,25,ostrich,South Africa,-28.8166236,24.991639
13,The Old Dominion,23,ostrich,South Africa,-28.8166236,24.991639
15,He “Digesteth Harde Yron”,20,ostrich,South Africa,-28.8166236,24.991639
17,He “Digesteth Harde Yron”,24,ostrich,South Africa,-28.8166236,24.991639
19,He “Digesteth Harde Yron”,35,ostrich,South Africa,-28.8166236,24.991639
21,He “Digesteth Harde Yron”,56,ostrich,South Africa,-28.8166236,24.991639
23,He “Digesteth Harde Yron”,62,ostrich,South Africa,-28.8166236,24.991639
25,He “Digesteth Harde Yron”,63,ostrich,South Africa,-28.8166236,24.991639
27,He “Digesteth Harde Yron”,65,ostrich,South Africa,-28.8166236,24.991639
29,The Jerboa,49,rhinoceros,South Africa,-28.8166236,24.991639
31,Apparition of Splendor,3,rhinoceros,South Africa,-28.8166236,24.991639
33,The Jerboa,99,africanus,South Africa,-28.8166236,24.991639
35,“Nothing will Cure the Sick Lion but to Eat an Ape”,0,lion,South Africa,-28.8166236,24.991639
37,The Monkey Puzzler,19,lion,South Africa,-28.8166236,24.991639
39,Marriage,216,lion,South Africa,-28.8166236,24.991639
41,Sea Unicorns and Land Unicorns,1,lion,South Africa,-28.8166236,24.991639
43,Sea Unicorns and Land Unicorns,15,lion,South Africa,-28.8166236,24.991639
45,Sea Unicorns and Land Unicorns,20,lion,South Africa,-28.8166236,24.991639
47,Sea Unicorns and Land Unicorns,36,lion,South Africa,-28.8166236,24.991639
49,Sea Unicorns and Land Unicorns,37,lion,South Africa,-28.8166236,24.991639
51,Sea Unicorns and Land Unicorns,38,lion,South Africa,-28.8166236,24.991639
53,Sea Unicorns and Land Unicorns,42,lion,South Africa,-28.8166236,24.991639
55,Sea Unicorns and Land Unicorns,44,lion,South Africa,-28.8166236,24.991639
57,Sea Unicorns and Land Unicorns,49,lion,South Africa,-28.8166236,24.991639
59,"Part of a Novel, Part of a Poem, Part of a Play",120,lion,South Africa,-28.8166236,24.991639
61,"Part of a Novel, Part of a Poem, Part of a Play",122,lion,South Africa,-28.8166236,24.991639
63,Walking-Sticks and Paperweights and Watermarks,86,lion,South Africa,-28.8166236,24.991639
65,Rigorists,17,lion,South Africa,-28.8166236,24.991639
67,In Distrust of Merits,13,lion,South Africa,-28.8166236,24.991639
69,His Shield,20,lion,South Africa,-28.8166236,24.991639
71,Leonardo da Vinci’s,1,lion,South Africa,-28.8166236,24.991639
73,Leonardo da Vinci’s,7,lion,South Africa,-28.8166236,24.991639
75,Leonardo da Vinci’s,32,lion,South Africa,-28.8166236,24.991639
77,Leonardo da Vinci’s,39,lion,South Africa,-28.8166236,24.991639
79,Leonardo da Vinci’s,40,lion,South Africa,-28.8166236,24.991639
81,Baseball and Writing,87,lion,South Africa,-28.8166236,24.991639
83,My Apish Cousins,1,zebra,South Africa,-28.8166236,24.991639
85,The Old Dominion,241,zebra,South Africa,-28.8166236,24.991639
87,The Old Dominion,274,zebra,South Africa,-28.8166236,24.991639
89,The Old Dominion,277,zebra,South Africa,-28.8166236,24.991639
91,The Fish,37,dynamite,South Africa,-28.8166236,24.991639
93,"Part of a Novel, Part of a Poem, Part of a Play",117,dynamite,South Africa,-28.8166236,24.991639
95,"Part of a Novel, Part of a Poem, Part of a Play",122,zebu,South Africa,-28.8166236,24.991639
97,The Buffalo,18,zebu,South Africa,-28.8166236,24.991639
99,The Old Dominion,51,lark,South Africa,-28.8166236,24.991639
101,The Old Dominion,156,lark,South Africa,-28.8166236,24.991639
103,The Old Dominion,92,african,South Africa,-28.8166236,24.991639
104,Fear is Hope,10,caravan,Andorra,42.5407167,1.5732033
105,An Octopus,96,glacier,Antarctica,-79.4063075,0.3149312
106,Sea Unicorns and Land Unicorns,18,antarctica,Antarctica,-79.4063075,0.3149312
107,Quoting An Also Private Thought,13,antipodal,Antarctica,-79.4063075,0.3149312
108,The Plumet Basilisk,2,driftwood,Arctic,79.2506,-110.114
109,The Jerboa,58,fig,Argentina,-34.9964963,-64.9672817
110,The Old Dominion,131,fig,Argentina,-34.9964963,-64.9672817
111,The Old Dominion,142,fig,Argentina,-34.9964963,-64.9672817
112,He Made This Screen,5,fig,Argentina,-34.9964963,-64.9672817
113,Elephants,60,wreath,Armenia,40.7696272,44.6736646
114,Armor’s Undermining Modesty,30,wreath,Armenia,40.7696272,44.6736646
115,For February 14th,12,wreath,Armenia,40.7696272,44.6736646
116,"In “Designing a Cloak to Cloak his Designs,” you Wrested from Oblivion, a Coat of Immortality for your own Use.",5,wreath,Armenia,40.7696272,44.6736646
117,A Talisman,8,sea,Atlantic,6.5994,-35.6731
118,"“The Bricks are Fallen Down, We Will Build with Hewn Stones. The Sycamores are Cut Down, We Will Change to Cedars.”",6,sea,Atlantic,6.5994,-35.6731
119,Sojourn in the Whale,3,sea,Atlantic,6.5994,-35.6731
120,My Apish Cousins,22,sea,Atlantic,6.5994,-35.6731
121,The Fish,19,sea,Atlantic,6.5994,-35.6731
122,The Fish,46,sea,Atlantic,6.5994,-35.6731
123,Dock Rats,3,sea,Atlantic,6.5994,-35.6731
124,Dock Rats,20,sea,Atlantic,6.5994,-35.6731
125,A Grave,1,sea,Atlantic,6.5994,-35.6731
126,A Grave,6,sea,Atlantic,6.5994,-35.6731
127,A Grave,10,sea,Atlantic,6.5994,-35.6731
128,A Grave,11,sea,Atlantic,6.5994,-35.6731
129,A Grave,23,sea,Atlantic,6.5994,-35.6731
130,Novices,11,sea,Atlantic,6.5994,-35.6731
131,Novices,43,sea,Atlantic,6.5994,-35.6731
132,An Octopus,3,sea,Atlantic,6.5994,-35.6731
133,Sea Unicorns and Land Unicorns,0,sea,Atlantic,6.5994,-35.6731
134,Sea Unicorns and Land Unicorns,9,sea,Atlantic,6.5994,-35.6731
135,Sea Unicorns and Land Unicorns,11,sea,Atlantic,6.5994,-35.6731
136,Sea Unicorns and Land Unicorns,34,sea,Atlantic,6.5994,-35.6731
137,Sea Unicorns and Land Unicorns,38,sea,Atlantic,6.5994,-35.6731
138,Sea Unicorns and Land Unicorns,41,sea,Atlantic,6.5994,-35.6731
139,"Part of a Novel, Part of a Poem, Part of a Play",5,sea,Atlantic,6.5994,-35.6731
140,"Part of a Novel, Part of a Poem, Part of a Play",15,sea,Atlantic,6.5994,-35.6731
141,"Part of a Novel, Part of a Poem, Part of a Play",51,sea,Atlantic,6.5994,-35.6731
142,"Part of a Novel, Part of a Poem, Part of a Play",120,sea,Atlantic,6.5994,-35.6731
143,No Swan So Fine,10,sea,Atlantic,6.5994,-35.6731
144,The Plumet Basilisk,14,sea,Atlantic,6.5994,-35.6731
145,The Plumet Basilisk,61,sea,Atlantic,6.5994,-35.6731
146,Pigeons,30,sea,Atlantic,6.5994,-35.6731
147,Pigeons,96,sea,Atlantic,6.5994,-35.6731
148,The Old Dominion,128,sea,Atlantic,6.5994,-35.6731
149,The Old Dominion,282,sea,Atlantic,6.5994,-35.6731
150,What are Years?,15,sea,Atlantic,6.5994,-35.6731
151,Light is Speech,26,sea,Atlantic,6.5994,-35.6731
152,He “Digesteth Harde Yron”,42,sea,Atlantic,6.5994,-35.6731
153,The Paper Nautilus,11,sea,Atlantic,6.5994,-35.6731
154,In Distrust of Merits,11,sea,Atlantic,6.5994,-35.6731
155,Propriety,20,sea,Atlantic,6.5994,-35.6731
156,Rosemary,3,sea,Atlantic,6.5994,-35.6731
157,Rosemary,14,sea,Atlantic,6.5994,-35.6731
158,Granite and Steel,1,sea,Atlantic,6.5994,-35.6731
159,Granite and Steel,17,sea,Atlantic,6.5994,-35.6731
160,"The mind, intractable thing",27,sea,Atlantic,6.5994,-35.6731
161,He Made This Screen,3,sea,Atlantic,6.5994,-35.6731
162,Old Tiger,41,sea,Atlantic,6.5994,-35.6731
163,"Part of a Novel, Part of a Poem, Part of a Play",126,swordfish,Atlantic,6.5994,-35.6731
164,The Jerboa,151,seed,Atlantic,6.5994,-35.6731
165,Camellia Sabina,35,seed,Atlantic,6.5994,-35.6731
166,Spenser’s Ireland,16,seed,Atlantic,6.5994,-35.6731
167,Spenser’s Ireland,20,seed,Atlantic,6.5994,-35.6731
168,Nevertheless,5,seed,Atlantic,6.5994,-35.6731
169,Nevertheless,6,seed,Atlantic,6.5994,-35.6731
170,Style,29,seed,Atlantic,6.5994,-35.6731
171,Enough,42,seed,Atlantic,6.5994,-35.6731
172,Rescue with Yul Brynner,43,seed,Atlantic,6.5994,-35.6731
173,The Arctic Ox (or Goat),3,atlantic,Atlantic,6.5994,-35.6731
174,My Apish Cousins,4,parakeet,Australia,-24.7761086,134.755
175,Dock Rats,17,parakeet,Australia,-24.7761086,134.755
176,Radical,3,carrot,Australia,-24.7761086,134.755
177,Nevertheless,16,carrot,Australia,-24.7761086,134.755
178,The Arctic Ox (or Goat),56,carrot,Australia,-24.7761086,134.755
179,Baseball and Writing,73,carrot,Australia,-24.7761086,134.755
180,An Octopus,121,totemic,Australia,-24.7761086,134.755
181,The Jerboa,152,kangaroo,Australia,-24.7761086,134.755
182,The Frigate Pelican,37,sheep,Australia,-24.7761086,134.755
183,Nine Nectarines and Other Porcelain,61,sheep,Australia,-24.7761086,134.755
184,The Arctic Ox (or Goat),46,sheep,Australia,-24.7761086,134.755
185,Then the Ermine:,31,darker,Australia,-24.7761086,134.755
186,Dock Rats,16,mountain,Austria,47.59397,14.12456
187,An Octopus,74,mountain,Austria,47.59397,14.12456
188,An Octopus,80,mountain,Austria,47.59397,14.12456
189,An Octopus,84,mountain,Austria,47.59397,14.12456
190,An Octopus,111,mountain,Austria,47.59397,14.12456
191,An Octopus,120,mountain,Austria,47.59397,14.12456
192,An Octopus,153,mountain,Austria,47.59397,14.12456
193,An Octopus,154,mountain,Austria,47.59397,14.12456
194,An Octopus,231,mountain,Austria,47.59397,14.12456
195,Spenser’s Ireland,70,mountain,Austria,47.59397,14.12456
196,His Shield,16,mountain,Austria,47.59397,14.12456
197,The Arctic Ox (or Goat),55,mountain,Austria,47.59397,14.12456
